,Tm,#Bat,BatAge,R/G,G_x,PA,AB,R_x,H_x,2B,3B,HR_x,RBI,SB,CS,BB_x,SO_x,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP_x,SH,SF,IBB_x,LOB_x,#Fld,RA/G_x,DefEff,G_y,GS_x,CG_x,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,#P,PAge,RA/G_y,W,L,W-L%,ERA,G,GS_y,GF,CG_y,tSho,cSho,SV,IP,H_y,R_y,ER,HR_y,BB_y,IBB_y,SO_y,HBP_y,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB_y
22,San Diego Padres,36,28.1,4.51,70,2638,2374,316,623,106,8,70,303,56,15,216,475,0.262,0.328,0.402,0.731,113,955,61,23,9,12,9,473,36,4.17,0.702,70,630,465,5577,2453,1859,556,38,50,0.985,-6,-1,10,0,-2,18,29.0,4.17,35,35,0.5,3.91,70,70,70,0,4,0,18,619.2,552,292,269,76,199,7,608,25,3,22,2588,101,3.86,1.212,8.0,1.1,2.9,8.8,3.06,440
23,Seattle Mariners,40,28.7,3.9,68,2485,2215,265,495,86,7,74,257,43,12,215,677,0.223,0.301,0.369,0.67,97,817,43,37,3,13,2,436,40,3.75,0.726,68,612,455,5391,2384,1797,548,39,43,0.984,21,5,22,0,1,21,27.8,3.75,38,30,0.559,3.56,68,68,68,0,6,0,19,599.0,482,255,237,70,163,9,572,22,2,15,2422,105,3.68,1.077,7.2,1.1,2.4,8.6,3.51,375
24,San Francisco Giants,43,29.2,4.28,67,2528,2266,287,556,99,8,64,274,21,10,216,533,0.245,0.315,0.381,0.696,104,863,54,22,5,19,7,464,42,4.69,0.673,67,603,457,5325,2489,1775,672,42,61,0.983,-34,-8,8,0,-3,21,27.2,4.69,33,34,0.493,4.38,67,67,67,0,4,0,12,591.2,586,314,288,64,202,5,565,36,3,22,2545,88,3.85,1.332,8.9,1.0,3.1,8.6,2.8,464
25,St. Louis Cardinals,36,27.6,3.97,64,2411,2145,254,504,98,6,61,237,31,10,206,540,0.235,0.307,0.372,0.678,94,797,25,25,11,20,5,460,35,4.59,0.685,64,576,433,5082,2316,1694,581,41,64,0.982,-11,-3,9,-2,0,19,31.3,4.59,31,33,0.484,4.08,64,64,64,0,2,0,23,564.2,538,294,256,71,185,3,536,19,1,22,2385,101,3.97,1.28,8.6,1.1,2.9,8.5,2.9,404
26,Tampa Bay Rays,40,27.6,3.86,66,2465,2205,255,512,97,8,50,236,63,28,203,597,0.232,0.305,0.351,0.657,91,775,41,34,7,13,6,445,40,4.85,0.695,66,594,450,5370,2322,1790,500,32,45,0.986,-19,-4,-23,-1,-1,22,29.2,4.85,31,35,0.47,4.42,66,66,66,0,2,0,20,596.2,575,320,293,88,186,9,571,32,1,13,2542,87,4.25,1.275,8.7,1.3,2.8,8.6,3.07,447
27,Texas Rangers,43,28.0,4.38,65,2450,2204,285,533,85,10,66,269,30,6,208,501,0.242,0.312,0.379,0.691,98,836,45,22,1,15,10,443,43,4.18,0.714,65,585,451,5166,2330,1722,575,33,50,0.986,30,7,29,1,-1,23,31.2,4.18,31,34,0.477,3.83,65,65,65,0,5,0,10,574.0,487,272,244,68,234,10,556,24,2,17,2423,101,4.1,1.256,7.6,1.1,3.7,8.7,2.38,435
28,Toronto Blue Jays,37,29.1,3.91,66,2448,2174,258,504,111,9,55,244,36,5,226,460,0.232,0.309,0.367,0.676,95,798,52,23,7,17,3,449,36,4.47,0.704,66,594,435,5226,2346,1742,570,34,51,0.986,10,2,49,4,3,22,30.9,4.47,32,34,0.485,4.15,66,66,64,2,3,1,16,580.2,545,295,268,87,189,9,530,26,4,10,2449,95,4.38,1.264,8.4,1.3,2.9,8.2,2.8,420
29,Washington Nationals,35,27.6,4.0,65,2394,2132,260,494,96,5,52,243,98,27,196,525,0.232,0.304,0.355,0.659,92,756,40,35,10,19,6,406,35,4.31,0.686,65,585,453,5172,2358,1724,601,33,64,0.986,-8,-2,-2,-2,-2,18,29.8,4.31,30,35,0.462,3.99,65,65,65,0,4,0,18,574.2,554,280,255,56,187,7,503,17,3,34,2420,101,3.73,1.289,8.7,0.9,2.9,7.9,2.69,422
30,League Average,39,28.2,4.33,66,2475,2216,286,533,104,10,68,272,48,13,206,551,0.24,0.311,0.388,0.699,100,861,44,28,6,18,7,441,38,4.33,0.699,66,593,444,5272,2364,1757,571,36,50,0.985,-1,0,6,0,0,22,29.2,4.33,33,33,0.5,3.97,66,66,66,0,4,0,17,586.0,533,286,258,68,206,7,551,28,3,20,2475,102,3.98,1.26,8.2,1.0,3.2,8.5,2.68,441
31,,1163,28.2,4.33,1978,74240,66465,8569,15976,3105,297,2047,8146,1450,399,6175,16519,0.24,0.311,0.388,0.699,100,25816,1325,837,189,529,203,13217,1151,4.33,0.699,1978,17802,13312,158166,70926,52722,17130,1074,1512,0.985,-19,0,179,0,-2,649,29.2,4.33,989,989,0.5,3.97,1978,1978,1966,12,129,7,503,17574.0,15976,8569,7749,2047,6175,203,16519,837,87,614,74240,102,3.98,1.26,8.2,1.0,3.2,8.5,2.68,13217
