Tm,#Bat,#Fld,#P,2B,3B,A,AB,BA,BB9,BB_x,BB_y,BF,BK,BatAge,CG_x,CG_y,CS,Ch,DP,DefEff,E,ER,ERA,ERA+,FIP,Fld%,G,GDP,GF,GS_x,GS_y,G_x,G_y,H9,HBP_x,HBP_y,HR9,HR_x,HR_y,H_x,H_y,IBB_x,IBB_y,IP,Inn,L,LOB_x,LOB_y,OBP,OPS,OPS+,PA,PAge,PO,R/G,RA/G_x,RA/G_y,RBI,R_x,R_y,Rdrs,Rdrs/yr,Rgood,Rtot,Rtot/yr,SB,SF,SH,SLG,SO/W,SO9,SO_x,SO_y,SV,TB,W,W-L%,WHIP,WP,cSho,tSho,playoffs
Kansas City Royals,55.0,55.0,33.0,247.0,38.0,1499.0,5437.0,0.244,3.7,460.0,589.0,6249.0,6.0,27.1,1109.0,0.0,34.0,5829.0,153.0,0.675,82.0,740.0,4.7,87.0,4.42,0.986,162.0,101.0,162.0,1458.0,162.0,162.0,162.0,9.5,48.0,71.0,1.1,138.0,173.0,1327.0,1493.0,7.0,15.0,1416.0,12744.0,97.0,1091.0,1204.0,0.306,0.686,93.0,6010.0,27.3,4248.0,3.95,5.0,5.0,613.0,640.0,810.0,-37.0,-1.0,1.0,-24.0,-2.0,104.0,44.0,20.0,0.38,2.02,7.6,1287.0,1191.0,33.0,2064.0,65.0,0.401,1.47,88.0,0.0,9.0,No
Los Angeles Angels,66.0,66.0,35.0,219.0,31.0,1382.0,5423.0,0.233,3.4,449.0,540.0,6038.0,3.0,27.9,1004.0,2.0,27.0,5773.0,134.0,0.709,84.0,601.0,3.77,107.0,3.96,0.985,162.0,95.0,160.0,1458.0,162.0,162.0,162.0,7.8,54.0,60.0,1.1,190.0,168.0,1265.0,1241.0,28.0,23.0,1435.2,12921.0,89.0,1050.0,1085.0,0.297,0.687,93.0,5977.0,27.4,4307.0,3.85,4.12,4.12,600.0,623.0,668.0,8.0,-1.0,-5.0,24.0,2.0,77.0,25.0,25.0,0.39,2.56,8.7,1539.0,1383.0,38.0,2116.0,73.0,0.451,1.241,64.0,2.0,17.0,No
Los Angeles Dodgers,51.0,51.0,31.0,325.0,31.0,1351.0,5526.0,0.257,2.5,607.0,407.0,5865.0,3.0,29.6,1135.0,1.0,18.0,5788.0,120.0,0.729,83.0,451.0,2.8,145.0,3.45,0.986,162.0,85.0,161.0,1458.0,162.0,162.0,162.0,6.9,56.0,75.0,0.9,212.0,152.0,1418.0,1114.0,22.0,13.0,1451.1,13062.0,51.0,1159.0,1015.0,0.333,0.775,115.0,6247.0,28.8,4354.0,5.23,3.17,3.17,812.0,847.0,513.0,84.0,2.0,3.0,68.0,6.0,98.0,53.0,3.0,0.442,3.6,9.1,1374.0,1465.0,43.0,2441.0,111.0,0.685,1.048,38.0,1.0,15.0,Yes
Miami Marlins,56.0,56.0,32.0,248.0,20.0,1460.0,5395.0,0.23,3.2,436.0,511.0,6056.0,3.0,28.9,1077.0,6.0,29.0,5841.0,143.0,0.694,69.0,617.0,3.86,107.0,3.9,0.988,162.0,120.0,156.0,1458.0,162.0,162.0,162.0,8.2,70.0,76.0,1.1,144.0,173.0,1241.0,1311.0,6.0,19.0,1437.1,12936.0,93.0,1045.0,1088.0,0.294,0.658,85.0,5949.0,27.6,4312.0,3.62,4.17,4.17,554.0,586.0,676.0,12.0,1.0,5.0,13.0,1.0,122.0,36.0,4.0,0.363,2.81,9.0,1429.0,1437.0,41.0,1961.0,69.0,0.426,1.268,54.0,1.0,10.0,No
Milwaukee Brewers,51.0,51.0,33.0,251.0,17.0,1419.0,5417.0,0.235,3.2,577.0,521.0,6057.0,4.0,29.1,1110.0,0.0,30.0,5848.0,122.0,0.704,91.0,615.0,3.83,106.0,3.92,0.984,162.0,117.0,162.0,1458.0,162.0,162.0,162.0,7.7,80.0,67.0,1.2,219.0,190.0,1271.0,1238.0,25.0,12.0,1446.0,13014.0,76.0,1102.0,1057.0,0.315,0.724,103.0,6122.0,28.6,4338.0,4.48,4.25,4.25,703.0,725.0,688.0,51.0,1.0,-1.0,-1.0,0.0,96.0,37.0,11.0,0.409,2.94,9.5,1464.0,1530.0,52.0,2213.0,86.0,0.531,1.216,47.0,0.0,11.0,No
Minnesota Twins,61.0,61.0,39.0,269.0,18.0,1307.0,5476.0,0.248,2.9,518.0,468.0,6042.0,4.0,26.9,1061.0,0.0,17.0,5701.0,121.0,0.702,83.0,636.0,3.98,99.0,4.03,0.985,162.0,133.0,162.0,1458.0,162.0,162.0,162.0,8.3,62.0,66.0,1.2,178.0,184.0,1356.0,1320.0,11.0,19.0,1437.0,12933.0,84.0,1126.0,1071.0,0.317,0.718,105.0,6113.0,28.9,4311.0,4.3,4.22,4.22,668.0,696.0,684.0,23.0,0.0,2.0,26.0,2.0,38.0,46.0,10.0,0.401,2.85,8.4,1353.0,1336.0,28.0,2195.0,78.0,0.481,1.244,50.0,0.0,17.0,No
New York Mets,61.0,59.0,33.0,272.0,27.0,1359.0,5489.0,0.259,2.7,510.0,428.0,5950.0,2.0,29.7,1103.0,0.0,22.0,5742.0,128.0,0.692,67.0,570.0,3.57,108.0,3.5,0.988,162.0,122.0,162.0,1458.0,162.0,162.0,162.0,8.0,112.0,71.0,1.1,171.0,169.0,1422.0,1274.0,25.0,13.0,1438.2,12948.0,61.0,1158.0,1041.0,0.332,0.744,113.0,6176.0,31.2,4316.0,4.77,3.74,3.74,735.0,772.0,606.0,11.0,0.0,6.0,-33.0,-3.0,62.0,44.0,20.0,0.412,3.66,9.8,1217.0,1565.0,41.0,2261.0,101.0,0.623,1.183,35.0,0.0,19.0,Yes
New York Yankees,54.0,54.0,33.0,225.0,8.0,1473.0,5422.0,0.241,2.8,620.0,444.0,5938.0,5.0,30.2,1092.0,1.0,33.0,5902.0,102.0,0.72,74.0,532.0,3.3,120.0,3.56,0.987,162.0,121.0,161.0,1458.0,162.0,162.0,162.0,7.3,70.0,65.0,1.0,254.0,157.0,1308.0,1177.0,36.0,10.0,1451.2,13065.0,63.0,1093.0,1047.0,0.325,0.751,112.0,6172.0,29.2,4355.0,4.98,3.5,3.5,764.0,807.0,567.0,129.0,1.0,4.0,69.0,6.0,102.0,41.0,14.0,0.426,3.29,9.0,1391.0,1459.0,47.0,2311.0,99.0,0.611,1.117,40.0,1.0,16.0,Yes
Oakland Athletics,64.0,64.0,35.0,249.0,15.0,1466.0,5314.0,0.216,3.2,433.0,503.0,6121.0,5.0,28.3,1036.0,0.0,23.0,5837.0,139.0,0.697,92.0,717.0,4.52,82.0,4.41,0.984,162.0,109.0,162.0,1458.0,162.0,162.0,162.0,8.8,59.0,72.0,1.2,137.0,195.0,1147.0,1394.0,7.0,37.0,1426.1,12837.0,102.0,969.0,1087.0,0.281,0.626,84.0,5863.0,28.0,4279.0,3.51,4.75,4.75,537.0,568.0,770.0,-29.0,0.0,-7.0,-43.0,-4.0,78.0,33.0,22.0,0.346,2.39,7.6,1389.0,1203.0,34.0,1837.0,60.0,0.37,1.33,62.0,0.0,7.0,No
Philadelphia Phillies,56.0,56.0,33.0,255.0,29.0,1416.0,5496.0,0.253,2.9,478.0,463.0,6006.0,3.0,28.1,1104.0,3.0,28.0,5770.0,129.0,0.687,69.0,630.0,3.97,101.0,3.6,0.988,162.0,116.0,159.0,1458.0,162.0,162.0,162.0,8.4,52.0,68.0,0.9,205.0,150.0,1392.0,1330.0,15.0,16.0,1428.1,12855.0,75.0,1075.0,1052.0,0.317,0.739,108.0,6077.0,29.2,4285.0,4.61,4.23,4.23,719.0,747.0,685.0,-34.0,0.0,0.0,-40.0,-4.0,105.0,44.0,6.0,0.422,3.07,9.0,1363.0,1423.0,42.0,2320.0,87.0,0.537,1.255,47.0,1.0,15.0,Yes
Pittsburgh Pirates,68.0,68.0,36.0,221.0,29.0,1507.0,5331.0,0.222,3.7,476.0,586.0,6263.0,5.0,26.3,1060.0,0.0,32.0,5891.0,152.0,0.677,121.0,735.0,4.66,88.0,4.27,0.979,162.0,96.0,162.0,1458.0,162.0,162.0,162.0,9.1,54.0,87.0,1.0,158.0,164.0,1186.0,1432.0,14.0,23.0,1421.0,12789.0,100.0,1016.0,1197.0,0.291,0.655,85.0,5912.0,27.3,4263.0,3.65,5.04,5.04,555.0,591.0,817.0,-1.0,0.0,3.0,-54.0,-5.0,89.0,32.0,19.0,0.364,2.13,7.9,1497.0,1250.0,33.0,1939.0,62.0,0.383,1.42,62.0,0.0,6.0,No
San Diego Padres,55.0,55.0,30.0,275.0,18.0,1362.0,5468.0,0.241,2.9,574.0,468.0,6047.0,5.0,28.2,1081.0,0.0,22.0,5768.0,116.0,0.705,76.0,611.0,3.81,100.0,3.82,0.987,162.0,95.0,162.0,1458.0,162.0,162.0,162.0,7.9,65.0,88.0,1.1,153.0,173.0,1317.0,1263.0,24.0,6.0,1443.1,12990.0,73.0,1174.0,1076.0,0.318,0.7,102.0,6175.0,30.3,4330.0,4.35,4.07,4.07,682.0,705.0,660.0,6.0,-2.0,0.0,-5.0,0.0,49.0,46.0,17.0,0.382,3.1,9.0,1327.0,1451.0,48.0,2087.0,89.0,0.549,1.199,54.0,0.0,15.0,Yes
Seattle Mariners,59.0,59.0,29.0,229.0,19.0,1317.0,5375.0,0.23,2.8,596.0,447.0,5986.0,0.0,27.5,1088.0,0.0,27.0,5727.0,114.0,0.71,69.0,577.0,3.59,104.0,3.9,0.988,162.0,120.0,162.0,1458.0,162.0,162.0,162.0,7.9,89.0,56.0,1.2,197.0,186.0,1236.0,1277.0,17.0,24.0,1447.0,13023.0,72.0,1129.0,1047.0,0.315,0.704,106.0,6117.0,27.9,4341.0,4.26,3.85,3.85,663.0,690.0,623.0,38.0,0.0,4.0,18.0,2.0,83.0,45.0,9.0,0.39,3.11,8.7,1397.0,1391.0,40.0,2094.0,90.0,0.556,1.191,45.0,0.0,10.0,Yes
San Francisco Giants,66.0,65.0,34.0,255.0,18.0,1546.0,5392.0,0.234,2.8,571.0,441.0,6070.0,2.0,30.0,870.0,1.0,16.0,5945.0,130.0,0.674,100.0,613.0,3.85,103.0,3.43,0.983,162.0,109.0,161.0,1458.0,162.0,162.0,162.0,8.8,95.0,52.0,0.8,183.0,132.0,1261.0,1397.0,14.0,16.0,1433.0,12897.0,81.0,1115.0,1090.0,0.315,0.705,100.0,6117.0,29.1,4299.0,4.42,4.3,4.3,683.0,716.0,697.0,-52.0,-1.0,5.0,-56.0,-5.0,64.0,53.0,6.0,0.39,3.11,8.6,1462.0,1370.0,39.0,2101.0,81.0,0.5,1.283,53.0,0.0,8.0,No
St. Louis Cardinals,51.0,51.0,32.0,290.0,21.0,1701.0,5496.0,0.252,3.1,537.0,489.0,6014.0,3.0,28.8,1041.0,3.0,25.0,6074.0,181.0,0.702,66.0,605.0,3.79,104.0,3.94,0.989,162.0,112.0,159.0,1458.0,162.0,162.0,162.0,8.4,80.0,60.0,0.9,197.0,146.0,1386.0,1335.0,11.0,11.0,1435.2,12921.0,69.0,1132.0,1088.0,0.325,0.745,112.0,6165.0,29.4,4307.0,4.77,3.93,3.93,739.0,772.0,637.0,70.0,5.0,10.0,46.0,4.0,95.0,45.0,5.0,0.42,2.41,7.4,1226.0,1177.0,37.0,2309.0,93.0,0.574,1.27,43.0,1.0,17.0,Yes
Tampa Bay Rays,61.0,61.0,40.0,296.0,17.0,1386.0,5412.0,0.239,2.4,500.0,384.0,5930.0,4.0,27.0,1067.0,0.0,37.0,5777.0,110.0,0.708,84.0,544.0,3.41,108.0,3.68,0.985,162.0,93.0,162.0,1458.0,162.0,162.0,162.0,7.9,57.0,66.0,1.1,139.0,172.0,1294.0,1260.0,13.0,15.0,1435.2,12921.0,76.0,1074.0,1038.0,0.309,0.686,99.0,6008.0,29.1,4307.0,4.11,3.79,3.79,634.0,666.0,614.0,14.0,0.0,-6.0,6.0,1.0,95.0,31.0,7.0,0.377,3.6,8.7,1395.0,1384.0,44.0,2041.0,86.0,0.531,1.145,54.0,0.0,10.0,Yes
Texas Rangers,55.0,55.0,31.0,224.0,20.0,1528.0,5478.0,0.239,3.6,456.0,581.0,6167.0,7.0,28.0,1137.0,1.0,41.0,5929.0,143.0,0.693,96.0,673.0,4.22,95.0,4.17,0.984,162.0,82.0,161.0,1458.0,162.0,162.0,162.0,8.4,47.0,71.0,1.1,198.0,169.0,1308.0,1345.0,12.0,16.0,1435.0,12915.0,94.0,1007.0,1140.0,0.301,0.696,96.0,6029.0,28.3,4305.0,4.36,4.59,4.59,670.0,707.0,743.0,3.0,0.0,-10.0,1.0,0.0,128.0,38.0,10.0,0.395,2.26,8.2,1446.0,1314.0,37.0,2166.0,68.0,0.42,1.342,66.0,1.0,10.0,No
Toronto Blue Jays,51.0,51.0,33.0,307.0,12.0,1348.0,5555.0,0.264,2.6,500.0,424.0,6053.0,5.0,27.1,1065.0,0.0,35.0,5754.0,120.0,0.691,82.0,620.0,3.87,100.0,3.85,0.986,162.0,136.0,162.0,1458.0,162.0,162.0,162.0,8.5,55.0,76.0,1.1,200.0,180.0,1464.0,1356.0,13.0,15.0,1441.1,12972.0,70.0,1111.0,1069.0,0.329,0.76,117.0,6158.0,29.7,4324.0,4.78,4.19,4.19,756.0,775.0,679.0,43.0,0.0,4.0,7.0,1.0,67.0,33.0,8.0,0.431,3.28,8.7,1242.0,1390.0,46.0,2395.0,92.0,0.568,1.235,29.0,0.0,10.0,Yes
Washington Nationals,55.0,54.0,36.0,252.0,20.0,1410.0,5434.0,0.249,3.6,442.0,558.0,6220.0,2.0,28.7,1163.0,2.0,31.0,5749.0,126.0,0.687,104.0,785.0,5.0,79.0,4.98,0.982,162.0,141.0,160.0,1458.0,162.0,162.0,162.0,9.4,60.0,75.0,1.6,136.0,244.0,1351.0,1469.0,12.0,12.0,1411.2,12705.0,107.0,1099.0,1143.0,0.31,0.688,98.0,5998.0,29.7,4235.0,3.72,5.28,5.28,579.0,603.0,855.0,-47.0,-1.0,-7.0,-43.0,-4.0,75.0,37.0,20.0,0.377,2.19,7.8,1221.0,1220.0,28.0,2051.0,55.0,0.34,1.436,59.0,0.0,4.0,No
Arizona Diamondbacks,54.0,53.0,34.0,274.0,44.0,1399.0,5436.0,0.25,3.3,540.0,525.0,6100.0,8.0,27.4,1071.0,1.0,26.0,5761.0,134.0,0.695,56.0,714.0,4.48,97.0,4.35,0.99,162.0,121.0,161.0,1458.0,162.0,162.0,162.0,8.6,58.0,48.0,1.2,166.0,197.0,1359.0,1375.0,11.0,13.0,1435.1,12918.0,78.0,1091.0,1050.0,0.322,0.73,99.0,6124.0,28.5,4306.0,4.6,4.7,4.7,706.0,746.0,761.0,46.0,0.0,9.0,43.0,4.0,166.0,50.0,36.0,0.408,2.57,8.5,1247.0,1351.0,44.0,2219.0,84.0,0.519,1.324,40.0,1.0,9.0,Yes
Atlanta Braves,53.0,51.0,33.0,293.0,23.0,1339.0,5597.0,0.276,3.3,538.0,534.0,6135.0,8.0,27.9,1210.0,1.0,27.0,5741.0,133.0,0.685,82.0,662.0,4.14,107.0,4.1,0.986,162.0,128.0,161.0,1458.0,162.0,162.0,162.0,8.4,67.0,70.0,1.2,307.0,187.0,1543.0,1341.0,20.0,14.0,1440.0,12960.0,58.0,1062.0,1112.0,0.344,0.845,125.0,6249.0,29.9,4320.0,5.85,4.42,4.42,916.0,947.0,716.0,16.0,0.0,2.0,21.0,2.0,132.0,43.0,2.0,0.501,2.84,9.5,1289.0,1516.0,52.0,2803.0,104.0,0.642,1.302,56.0,1.0,15.0,Yes
Baltimore Orioles,50.0,50.0,31.0,309.0,28.0,1444.0,5495.0,0.255,2.9,512.0,473.0,6098.0,7.0,27.2,991.0,0.0,24.0,5876.0,140.0,0.696,71.0,629.0,3.89,105.0,3.98,0.988,162.0,114.0,162.0,1458.0,162.0,162.0,162.0,8.3,45.0,63.0,1.1,183.0,177.0,1399.0,1334.0,14.0,16.0,1453.2,13083.0,61.0,1041.0,1080.0,0.321,0.742,107.0,6123.0,28.4,4361.0,4.98,4.19,4.19,780.0,807.0,678.0,34.0,0.0,-3.0,37.0,3.0,114.0,47.0,21.0,0.421,3.03,8.9,1370.0,1431.0,49.0,2313.0,101.0,0.623,1.243,64.0,0.0,12.0,Yes
Boston Red Sox,56.0,56.0,33.0,339.0,19.0,1429.0,5562.0,0.258,3.1,486.0,497.0,6168.0,4.0,28.6,1059.0,0.0,26.0,5821.0,137.0,0.677,102.0,718.0,4.52,100.0,4.37,0.982,162.0,118.0,162.0,1458.0,162.0,162.0,162.0,8.9,71.0,83.0,1.3,182.0,208.0,1437.0,1416.0,15.0,21.0,1430.0,12870.0,84.0,1117.0,1117.0,0.324,0.748,101.0,6174.0,30.0,4290.0,4.77,4.79,4.79,734.0,772.0,776.0,-20.0,-2.0,-2.0,-17.0,-2.0,112.0,35.0,11.0,0.424,2.86,9.0,1372.0,1423.0,43.0,2360.0,78.0,0.481,1.338,49.0,0.0,5.0,No
Chicago Cubs,48.0,48.0,27.0,269.0,30.0,1490.0,5504.0,0.254,3.2,570.0,513.0,6085.0,6.0,28.4,1130.0,1.0,34.0,5888.0,137.0,0.694,92.0,651.0,4.08,109.0,4.16,0.984,162.0,95.0,161.0,1458.0,162.0,162.0,162.0,8.3,77.0,64.0,1.1,196.0,179.0,1399.0,1328.0,11.0,5.0,1435.1,12918.0,79.0,1127.0,1073.0,0.33,0.751,102.0,6220.0,29.6,4306.0,5.06,4.46,4.46,786.0,819.0,723.0,36.0,0.0,1.0,9.0,1.0,140.0,52.0,15.0,0.421,2.68,8.6,1391.0,1377.0,35.0,2316.0,83.0,0.512,1.283,57.0,1.0,13.0,No
Chicago White Sox,56.0,56.0,32.0,264.0,13.0,1249.0,5501.0,0.238,4.1,377.0,654.0,6301.0,9.0,27.8,1088.0,2.0,22.0,5639.0,117.0,0.685,95.0,774.0,4.87,91.0,4.71,0.983,162.0,122.0,160.0,1458.0,162.0,162.0,162.0,8.6,52.0,91.0,1.3,171.0,214.0,1308.0,1372.0,19.0,14.0,1431.2,12885.0,101.0,1009.0,1189.0,0.291,0.675,84.0,5980.0,29.2,4295.0,3.96,5.19,5.19,617.0,641.0,841.0,-59.0,-4.0,-11.0,-50.0,-5.0,86.0,29.0,16.0,0.384,2.25,9.2,1424.0,1470.0,28.0,2111.0,61.0,0.377,1.415,65.0,0.0,7.0,No
Cincinnati Reds,65.0,65.0,40.0,268.0,37.0,1283.0,5499.0,0.249,3.8,556.0,613.0,6310.0,7.0,26.8,989.0,0.0,48.0,5692.0,125.0,0.685,91.0,772.0,4.83,94.0,4.79,0.984,162.0,101.0,162.0,1458.0,162.0,162.0,162.0,8.9,92.0,81.0,1.4,198.0,222.0,1371.0,1426.0,8.0,13.0,1439.1,12954.0,80.0,1107.0,1189.0,0.327,0.746,100.0,6195.0,27.7,4318.0,4.83,5.07,5.07,747.0,783.0,821.0,-38.0,-1.0,1.0,-13.0,-1.0,190.0,29.0,19.0,0.42,2.25,8.6,1500.0,1381.0,53.0,2307.0,82.0,0.506,1.417,48.0,0.0,6.0,No
Cleveland Guardians,50.0,50.0,29.0,294.0,29.0,1418.0,5513.0,0.25,3.3,471.0,534.0,6144.0,10.0,26.6,1127.0,1.0,36.0,5833.0,119.0,0.698,83.0,635.0,3.96,106.0,4.21,0.986,162.0,108.0,161.0,1458.0,162.0,162.0,162.0,8.4,55.0,51.0,1.1,124.0,173.0,1379.0,1352.0,40.0,9.0,1444.0,12996.0,86.0,1121.0,1143.0,0.313,0.695,93.0,6096.0,26.1,4332.0,4.09,4.3,4.3,622.0,662.0,697.0,24.0,0.0,3.0,-5.0,0.0,151.0,44.0,13.0,0.381,2.46,8.2,1142.0,1311.0,47.0,2103.0,76.0,0.469,1.306,61.0,0.0,13.0,No
Colorado Rockies,57.0,57.0,34.0,305.0,31.0,1516.0,5496.0,0.249,3.7,447.0,586.0,6316.0,7.0,28.1,1146.0,0.0,25.0,5839.0,169.0,0.67,81.0,891.0,5.67,88.0,5.24,0.986,162.0,124.0,162.0,1458.0,162.0,162.0,162.0,10.2,59.0,86.0,1.5,163.0,234.0,1368.0,1599.0,8.0,13.0,1414.0,12726.0,103.0,1038.0,1129.0,0.31,0.715,85.0,6055.0,29.7,4242.0,4.45,5.91,5.91,685.0,721.0,957.0,20.0,0.0,-1.0,5.0,0.0,76.0,41.0,11.0,0.405,1.93,7.2,1543.0,1129.0,32.0,2224.0,59.0,0.364,1.545,51.0,0.0,6.0,No
Detroit Tigers,51.0,50.0,32.0,245.0,29.0,1403.0,5478.0,0.236,3.0,508.0,476.0,6073.0,5.0,27.4,991.0,0.0,23.0,5830.0,129.0,0.699,100.0,680.0,4.24,105.0,4.13,0.983,162.0,107.0,162.0,1458.0,162.0,162.0,162.0,8.2,49.0,50.0,1.2,165.0,187.0,1292.0,1320.0,10.0,8.0,1442.1,12981.0,84.0,1103.0,1027.0,0.305,0.686,87.0,6080.0,27.7,4327.0,4.08,4.57,4.57,635.0,661.0,740.0,22.0,0.0,1.0,32.0,3.0,85.0,31.0,13.0,0.382,2.89,8.6,1473.0,1374.0,41.0,2090.0,78.0,0.481,1.245,51.0,0.0,15.0,No
Houston Astros,41.0,41.0,24.0,280.0,22.0,1346.0,5567.0,0.259,3.3,550.0,537.0,6110.0,5.0,28.8,1164.0,2.0,32.0,5763.0,144.0,0.697,81.0,632.0,3.94,107.0,4.31,0.986,162.0,124.0,160.0,1458.0,162.0,162.0,162.0,8.2,72.0,75.0,1.3,222.0,201.0,1441.0,1312.0,17.0,6.0,1445.1,13008.0,72.0,1134.0,1091.0,0.331,0.768,111.0,6253.0,29.2,4336.0,5.1,4.31,4.31,799.0,827.0,698.0,15.0,0.0,5.0,33.0,3.0,107.0,40.0,14.0,0.437,2.72,9.1,1241.0,1460.0,42.0,2431.0,90.0,0.556,1.279,37.0,2.0,7.0,Yes
